name_in_home_country,date_of_birth,place_of_birth,age,height,citizenship,position,foot,current_club,current_club_url,current_club_id,joined,fetched_name,national_team,player_id,full_name,first_left,age_first_left,started_abroad,no_transfers,days_abroad,days_home,currently_abroad,total_days,has_played_home_over_16
,1998-02-28,"Castricum, Netherlands",24,"1,83 m",Netherlands,midfield - Defensive Midfield,left,Atalanta BC,/atalanta-bc/startseite/verein/800,800,"Aug 30, 2021",Teun Koopmeiners,netherlands,360518,,2021-08-30,23.50219374798935,False,False,447,2740,True,3187,True
,1992-12-15,"Saint-Louis, Senegal",29,"1,89 m",Senegal,Attack - Centre-Forward,right,Alanyaspor,/alanyaspor/startseite/verein/11282,11282,"Jul 19, 2021",Famara Diédhiou,senegal,237125,,,,True,True,5088,0,True,5088,False
Abdou-Lakhad Diallo,1996-05-04,"Tours, France",26,"1,87 m",Senegal,Defender - Centre-Back,left,RB Leipzig,/rb-leipzig/startseite/verein/23826,23826,"Sep 1, 2022",Abdou Diallo,senegal,229005,,,,True,True,3852,0,True,3852,False
Theo Bernard François Hernández,1997-10-06,"Marseille, France",25,"1,84 m",France,Defender - Left-Back,left,AC Milan,/ac-milan/startseite/verein/5,5,"Jul 6, 2019",Theo Hernández,france,339808,,,,True,True,3332,0,True,3332,False
,1998-01-22,"Rotterdam, Netherlands",24,"1,88 m",Netherlands,Goalkeeper,right,Feyenoord Rotterdam,/feyenoord-rotterdam/startseite/verein/234,234,"Jul 1, 2016",Justin Bijlow,netherlands,315121,,,,False,False,0,3224,False,3224,True
권창훈,1994-06-30,"Seoul, Korea, South",28,"1,73 m","Korea, South",Attack - Right Winger,left,Gimcheon Sangmu,/gimcheon-sangmu/startseite/verein/6505,6505,"Dec 27, 2021",Chang-hoon Kwon,south korea,259350,,2013-01-01,18.508251367242313,False,False,1625,2901,False,4526,True
Kieran John Trippier,1990-09-19,"Bury, England",32,"1,73 m",England,Defender - Right-Back,right,Newcastle United,/newcastle-united/startseite/verein/762,762,"Jan 7, 2022",Kieran Trippier,england,95810,,2019-07-17,28.82468496957501,False,False,905,5001,False,5906,True
Ferran Torres García,2000-02-29,"Foios, Spain",22,"1,84 m",Spain,Attack - Left Winger,right,FC Barcelona,/fc-barcelona/startseite/verein/131,131,"Jan 1, 2022",Ferran Torres,spain,398184,,2020-08-04,20.430262086148243,False,False,515,1941,False,2456,True
Marcus Lilian Thuram-Ulien,1997-08-06,"Parma, Italy",25,"1,92 m",France,Attack - Centre-Forward,right,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,18,"Jul 22, 2019",,,318528,,2019-07-22,21.95801419604783,False,False,1217,2176,True,3393,True
,1997-03-18,"Itapitanga, Brazil",25,"1,88 m",Brazil,Defender - Centre-Back,right,Juventus FC,/juventus-fc/startseite/verein/506,506,"Jul 20, 2022",Bremer,brazil,516716,Gleison Bremer Silva Nascimento,2018-07-10,21.311868142398545,False,False,1594,1940,True,3534,True
Bruno Guimarães Rodrigues Moura,1997-11-16,"Rio de Janeiro, Brazil",24,"1,82 m",Brazil,midfield - Defensive Midfield,right,Newcastle United,/newcastle-united/startseite/verein/762,762,"Jan 30, 2022",Bruno Guimarães,brazil,520624,,2020-01-30,22.204425826676797,False,False,1025,2266,True,3291,True
,1999-12-29,"Hillerød, Denmark",22,"1,87 m",Denmark,midfield - Right Midfield,left,Club Brugge KV,/club-brugge-kv/startseite/verein/2282,2282,"Jan 28, 2022",Andreas Skov Olsen,denmark,432982,,2019-07-24,19.567821378946864,False,False,1215,1303,True,2518,True
Harry Edward Kane,1993-07-28,"London, England",29,"1,88 m",England,Attack - Centre-Forward,right,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,148,"Jan 1, 2011",Harry Kane,england,132098,,,,False,False,0,4863,False,4863,True
Carlos Sebastián Sosa Silva,1986-08-19,"Montevideo, Uruguay",36,"1,81 m",Uruguay,Goalkeeper,right,CA Independiente,/ca-independiente/startseite/verein/1234,1234,"Jan 18, 2022",Sebastián Sosa,uruguay,76592,,2011-08-05,24.961498182714223,False,False,4125,3273,True,7398,True
Roberto Carlos Alvarado Hernández,1998-09-07,"Irapuato, Mexico",24,"1,76 m",Mexico,Attack - Right Winger,left,Deportivo Guadalajara,/deportivo-guadalajara/startseite/verein/6711,6711,"Jan 1, 2022",Roberto Alvarado,mexico,353583,,,,False,False,0,2996,False,2996,True
川島 永嗣,1983-03-20,"Yono, Saitama, Japan",39,"1,85 m",Japan,Goalkeeper,right,RC Strasbourg Alsace,/rc-strasbourg-alsace/startseite/verein/667,667,"Aug 29, 2018",Eiji Kawashima,japan,77383,,2010-07-07,27.29967076668241,False,False,4519,4127,True,8646,True
David Wayne Hoilett,1990-06-05,"Brampton, Ontario, Canada",32,"1,74 m",Canada,Attack - Left Winger,right,Reading FC,/reading-fc/startseite/verein/1032,1032,"Aug 19, 2021",Junior Hoilett,canada,58993,,,,True,True,6012,0,True,6012,False
손흥민,1992-07-08,"Chuncheon, Gangwon, Korea, South",30,"1,84 m","Korea, South",Attack - Left Winger,both,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,148,"Aug 28, 2015",Heung-min Son,south korea,91845,,2008-08-01,16.066038317008562,False,False,5042,206,True,5248,True
김태환,1989-07-24,"Gwangju, Korea, South",33,"1,80 m","Korea, South",Defender - Right-Back,right,Ulsan Hyundai,/ulsan-hyundai/startseite/verein/3535,3535,"Feb 1, 2015",Tae-hwan Kim,south korea,156009,,,,False,False,0,6328,False,6328,True
محمد علي بن رمضان,1999-09-06,"Tunis, Tunisia",23,"1,85 m",Tunisia,midfield - Central Midfield,right,Esperance Tunis,/esperance-tunis/startseite/verein/3342,3342,"Jul 1, 2018",,,577881,,,,False,False,0,2632,False,2632,True
Дарко Лазовић,1990-09-15,"Cacak, Jugoslawien (SFR)",32,"1,81 m",Serbia,midfield - Left Midfield,right,Hellas Verona,/hellas-verona/startseite/verein/276,276,"Aug 6, 2019",Darko Lazović,serbia,70411,,2015-07-01,24.791747948280936,False,False,2699,3211,True,5910,True
板倉 滉,1997-01-27,"Yokohama, Kanagawa, Japan",25,"1,88 m",Japan,Defender - Centre-Back,right,Borussia Mönchengladbach,/borussia-monchengladbach/startseite/verein/18,18,"Jul 2, 2022",Ko Itakura,japan,355816,,2019-01-14,21.963490010061808,False,False,1406,2178,True,3584,True
Lionel Andrés Messi Cuccitini,1987-06-24,"Rosario, Argentina",35,"1,70 m",Argentina,Attack - Second Striker,left,Paris Saint-Germain,/paris-saint-germain/startseite/verein/583,583,"Aug 10, 2021",Lionel Messi,argentina,28003,,2000-07-01,13.021485725237342,False,False,8177,0,True,8177,False
Mateusz Wieteska,1997-02-11,"Warszawa, Poland",25,"1,87 m",Poland,Defender - Centre-Back,right,Clermont Foot 63,/clermont-foot-63/startseite/verein/3524,3524,"Jul 25, 2022",Mateusz Wieteska,poland,208172,,2022-07-25,25.44884562995818,False,False,118,3451,True,3569,True
Feras Tariq Nasser Al Brikan,2000-05-14,"ar-Riyāḍ, Saudi Arabia",22,"1,81 m",Saudi Arabia,Attack - Centre-Forward,left,Al-Fateh,/al-fateh/startseite/verein/27221,27221,"Jul 8, 2021",Firas Al-Buraikan,saudi arabia,631922,,,,False,False,0,2381,False,2381,True
Rui Pedro dos Santos Patrício,1988-02-15,"Leiria, Portugal",34,"1,90 m",Portugal,Goalkeeper,left,AS Roma,/as-roma/startseite/verein/12,12,"Jul 13, 2021",Rui Patrício,portugal,45026,,2018-07-01,30.374340335530505,False,False,1603,5250,True,6853,True
,2002-11-25,"Tegueste, Spain",19,"1,74 m",Spain,midfield - Central Midfield,right,FC Barcelona,/fc-barcelona/startseite/verein/131,131,"Sep 2, 2019",Pedri,spain,683840,Pedro González López,,,False,False,0,1456,False,1456,True
윤종규,1998-03-20,"Pohang, Gyeongbuk, Korea, South",24,"1,73 m","Korea, South",Defender - Right-Back,right,FC Seoul,/fc-seoul/startseite/verein/6500,6500,"Jan 1, 2017",Jong-gyu Yoon,south korea,402163,,,,False,False,0,3167,False,3167,True
나상호,1996-08-12,"Damyang, Jeonnam, Korea, South",26,"1,73 m","Korea, South",Attack - Left Winger,right,FC Seoul,/fc-seoul/startseite/verein/6500,6500,"Jan 9, 2021",Sang-ho Na,south korea,508381,,2020-12-31,24.38653771124664,False,False,537,3215,False,3752,True
Yousef Hassan Mohamed Ali,1996-05-24,"Doha, Qatar",26,,Qatar,Goalkeeper,,Al-Gharafa SC,/al-gharafa-sc/startseite/verein/6297,6297,"Jul 1, 2016",Yousef Hassan,qatar,462353,,,,True,True,1134,2698,False,3832,True
,2001-03-10,"Brugge, Belgium",21,"1,92 m",Belgium,midfield - Attacking Midfield,left,AC Milan,/ac-milan/startseite/verein/5,5,"Aug 2, 2022",Charles De Ketelaere,belgium,435772,,2022-08-02,21.39674325961519,False,False,110,1971,True,2081,True
Jack Peter Grealish,1995-09-10,"Birmingham, England",27,"1,80 m",England,Attack - Left Winger,right,Manchester City,/manchester-city/startseite/verein/281,281,"Aug 5, 2021",Jack Grealish,england,203460,,,,False,False,0,4089,False,4089,True
,1994-08-09,"Montpellier, France",28,"1,82 m",Ghana,Defender - Centre-Back,right,RC Strasbourg Alsace,/rc-strasbourg-alsace/startseite/verein/667,667,"Jul 5, 2019",,,250844,,,,True,True,4486,0,True,4486,False
,1997-06-23,"Douala, Cameroon",25,"1,78 m",Cameroon,Defender - Left-Back,,Seattle Sounders FC,/seattle-sounders-fc/startseite/verein/9636,9636,"Jan 26, 2017",Nouhou Tolo,cameroon,436332,,2016-04-13,18.806683231004058,False,False,2412,1025,True,3437,True
,1996-12-14,"Porto Alegre, Brazil",25,"1,76 m",Brazil,Attack - Right Winger,left,FC Barcelona,/fc-barcelona/startseite/verein/131,131,"Jul 13, 2022",Raphinha,brazil,411295,Raphael Dias Belloli,2016-02-01,19.13249416483569,False,False,2484,1144,True,3628,True
前田 大然,1997-10-20,"Taishi, Osaka, Japan",25,"1,73 m",Japan,Attack - Left Winger,right,Celtic FC,/celtic-fc/startseite/verein/371,371,"Jul 1, 2022",Daizen Maeda,japan,420931,,2018-01-31,20.282415107770866,False,False,667,2651,True,3318,True
Срђан Бабић,1996-04-22,"Banja Luka, Bosnia-Herzegovina",26,"1,94 m",Serbia,Defender - Centre-Back,left,UD Almería,/ud-almeria/startseite/verein/3302,3302,"Jul 1, 2022",Srdjan Babic,serbia,222805,,,,True,True,1178,2686,True,3864,True
,1997-01-15,,25,"1,83 m",Saudi Arabia,Defender - Centre-Back,right,Al-Nassr FC,/al-nassr-fc/startseite/verein/18544,18544,-,Abdulelah Al-Amri,saudi arabia,509894,,,,False,False,0,3596,False,3596,True
Édouard Osoque Mendy,1992-03-01,"Montivilliers, France",30,"1,94 m",Senegal,Goalkeeper,right,Chelsea FC,/chelsea-fc/startseite/verein/631,631,"Sep 24, 2020",Edouard Mendy,senegal,442531,,,,True,True,5377,0,True,5377,False
Carlos Soler Barragán,1997-01-02,"Valencia, Spain",25,"1,80 m",Spain,midfield - Central Midfield,right,Paris Saint-Germain,/paris-saint-germain/startseite/verein/583,583,"Sep 1, 2022",Carlos Soler,spain,372246,,2022-09-01,25.662402376503284,False,False,80,3529,True,3609,True
Diego Roberto Godín Leal,1986-02-16,"Rosario, Uruguay",36,"1,87 m",Uruguay,Defender - Centre-Back,right,CA Vélez Sarsfield,/ca-velez-sarsfield/startseite/verein/1029,1029,"Jun 21, 2022",Diego Godín,uruguay,54928,,2007-08-02,21.456977213768933,False,False,5589,1993,True,7582,True
كريم بوضياف,1990-09-16,"Rueil-Malmaison, France",32,"1,87 m",Qatar,midfield - Defensive Midfield,right,Al-Duhail SC,/al-duhail-sc/startseite/verein/26091,26091,"Jul 1, 2010",Karim Boudiaf,qatar,222385,,,,True,True,1384,4525,False,5909,True
Марко Грујић,1996-04-13,"Belgrad, Yugoslavia (Republic)",26,"1,91 m",Serbia,midfield - Defensive Midfield,right,FC Porto,/fc-porto/startseite/verein/720,720,"Jul 1, 2022",Marko Grujić,serbia,222813,,2016-06-30,20.213967432596153,False,False,2335,1538,True,3873,True
Manuel Ugarte Ribeiro,2001-04-11,"Montevideo, Uruguay",21,"1,82 m",Uruguay,midfield - Defensive Midfield,right,Sporting CP,/sporting-cp/startseite/verein/336,336,"Aug 9, 2021",Manuel Ugarte,uruguay,476701,,2021-01-04,19.734833706373163,False,False,685,1364,True,2049,True
Luka Sučić,2002-09-08,"Linz, Austria",20,"1,85 m",Croatia,midfield - Central Midfield,left,Red Bull Salzburg,/red-bull-salzburg/startseite/verein/409,409,"Aug 1, 2020",Luka Sucic,croatia,502722,,,,True,True,1534,0,True,1534,False
Rodrigo Bentancur Colmán,1997-06-25,"Nueva Helvecia, Uruguay",25,"1,87 m",Uruguay,midfield - Central Midfield,right,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,148,"Jan 31, 2022",Rodrigo Bentancur,uruguay,354362,,,,True,True,3435,0,True,3435,False
,1998-03-11,"Gonesse, France",24,"1,90 m",France,Defender - Centre-Back,right,AS Monaco,/as-monaco/startseite/verein/162,162,"Aug 7, 2020",,,386047,,2020-08-07,22.409768852200934,False,False,835,2341,True,3176,True
بوعلام خوخي,1990-07-09,"Bou Ismaïl, Algeria",32,"1,80 m",Qatar,Defender - Centre-Back,right,Al-Sadd SC,/al-sadd-sc/startseite/verein/656,656,"Jul 1, 2017",Boualem Khoukhi,qatar,222669,,,,True,True,1088,4890,False,5978,True
Luis Gerardo Chávez Magallón,1996-01-15,"Cihuatlán, Mexico",26,"1,78 m",Mexico,midfield - Defensive Midfield,left,CF Pachuca,/cf-pachuca/startseite/verein/4035,4035,"Jul 1, 2019",Luis Chávez,mexico,331059,,,,False,False,0,3962,False,3962,True
Душан Тадић,1988-11-20,"Bačka Topola, Jugoslawien (SFR)",33,"1,81 m",Serbia,Attack - Left Winger,left,Ajax Amsterdam,/ajax-amsterdam/startseite/verein/610,610,"Jul 3, 2018",Dusan Tadić,serbia,36139,,2010-07-01,21.61030000616029,False,False,4525,2049,True,6574,True
,1996-03-28,"Maubeuge, France",26,"1,86 m",France,Defender - Right-Back,right,Bayern Munich,/bayern-munich/startseite/verein/27,27,"Jul 1, 2019",Benjamin Pavard,france,353366,,2016-08-30,20.424786272134266,False,False,2273,1616,True,3889,True
Matthew Stuart Cash,1997-08-07,"Slough, England",25,"1,85 m",Poland,Defender - Right-Back,right,Aston Villa,/aston-villa/startseite/verein/405,405,"Sep 3, 2020",Matty Cash,poland,425334,,,,True,True,3392,0,True,3392,False
Facundo Pellistri Rebollo,2001-12-20,"Montevideo, Uruguay",20,"1,74 m",Uruguay,Attack - Right Winger,right,Manchester United,/manchester-united/startseite/verein/985,985,"Oct 5, 2020",Facundo Pellistri,uruguay,676318,,2020-10-05,18.792993695969116,False,False,776,1020,True,1796,True
Daniel Ward,1993-06-22,"Wrexham, Wales",29,"1,89 m",Wales,Goalkeeper,right,Leicester City,/leicester-city/startseite/verein/1003,1003,"Jul 20, 2018",Danny Ward,wales,203026,,2010-07-01,17.02430576945454,False,False,3978,921,True,4899,True
Félix Eduardo Torres Caicedo,1997-01-11,"San Lorenzo, Ecuador",25,"1,87 m",Ecuador,Defender - Centre-Back,right,Santos Laguna,/santos-laguna/startseite/verein/1403,1403,"Jul 15, 2019",,,468174,,2019-07-15,22.505595597445534,False,False,1224,2376,True,3600,True
,1993-04-25,"Aberdeen, Scotland",29,"1,72 m",Australia,Attack - Right Winger,right,Hibernian FC,/hibernian-fc/startseite/verein/903,903,"Aug 7, 2022",Martin Boyle,australia,140554,,,,True,True,4957,0,True,4957,False
송민규,1999-09-12,"Nonsan, Chungnam, Korea, South",23,"1,81 m","Korea, South",Attack - Left Winger,right,Jeonbuk Hyundai Motors,/jeonbuk-hyundai-motors/startseite/verein/6502,6502,"Jul 20, 2021",Min-kyu Song,south korea,581977,,,,False,False,0,2626,False,2626,True
Damián Emiliano Martínez Romero,1992-09-02,"Mar del Plata, Argentina",30,"1,95 m",Argentina,Goalkeeper,right,Aston Villa,/aston-villa/startseite/verein/405,405,"Sep 16, 2020",Emiliano Martínez,argentina,111873,,2010-07-01,17.826512522502174,False,False,4525,667,True,5192,True
Craig Alexander Goodwin,1991-12-16,"Adelaide, Australia",30,"1,80 m",Australia,Attack - Left Winger,left,Adelaide United,/adelaide-united/startseite/verein/875,875,"Jul 21, 2022",Craig Goodwin,australia,214798,,2014-09-08,22.73010397201859,False,False,1288,4165,False,5453,True
,1989-01-08,"Frauenfeld, Switzerland",33,"1,83 m",Switzerland,midfield - Defensive Midfield,right,FC Basel 1893,/fc-basel-1893/startseite/verein/26,26,"Jan 1, 2018",Fabian Frei,switzerland,52595,,2011-06-30,22.47274071336167,False,False,915,5610,False,6525,True
Christopher Ross Gunter,1989-07-21,"Newport, Wales",33,"1,80 m",Wales,Defender - Right-Back,right,AFC Wimbledon,/afc-wimbledon/startseite/verein/3884,3884,"Jul 4, 2022",Chris Gunter,wales,43853,,2008-01-01,18.448017413088564,False,False,5437,894,True,6331,True
冨安 健洋,1998-11-05,"Fukuoka, Fukuoka, Japan",24,"1,88 m",Japan,Defender - Right-Back,right,Arsenal FC,/arsenal-fc/startseite/verein/11,11,"Aug 31, 2021",Takehiro Tomiyasu,japan,331560,,2018-01-16,19.198203933003416,False,False,1769,1168,True,2937,True
Саша Лукић,1996-08-13,"Šabac, Yugoslavia (Republic)",26,"1,83 m",Serbia,midfield - Central Midfield,right,Torino FC,/torino-fc/startseite/verein/416,416,"Jul 29, 2016",Saša Lukić,serbia,245056,,2016-07-29,19.95934208094622,False,False,2305,1446,True,3751,True
,1996-04-12,"Słupca, Poland",26,"1,89 m",Poland,Defender - Centre-Back,right,Aston Villa,/aston-villa/startseite/verein/405,405,"Sep 1, 2022",Jan Bednarek,poland,243028,,2017-07-01,21.218779304160932,False,False,1968,1906,True,3874,True
Pau Francisco Torres,1997-01-16,"Villarreal, Spain",25,"1,91 m",Spain,Defender - Centre-Back,left,Villarreal CF,/villarreal-cf/startseite/verein/1050,1050,"Jul 1, 2018",Pau Torres,spain,399776,,,,False,False,0,3595,False,3595,True
Óscar Esaú Duarte Gaitán,1989-06-03,"Catarina, Nicaragua",33,"1,86 m",Costa Rica,Defender - Centre-Back,right,Al-Wehda FC,/al-wehda-fc/startseite/verein/17209,17209,"Jul 1, 2022",Óscar Duarte,costa rica,175323,,2013-01-15,23.619923749289857,False,False,3596,2783,True,6379,True
Leon Christoph Goretzka,1995-02-06,"Bochum, Germany",27,"1,89 m",Germany,midfield - Central Midfield,right,Bayern Munich,/bayern-munich/startseite/verein/27,27,"Jul 1, 2018",Leon Goretzka,germany,153084,,,,False,False,0,4305,False,4305,True
Brandon Aguilera Zamora,2003-06-28,"Grecia, Costa Rica",19,"1,81 m",Costa Rica,midfield - Attacking Midfield,left,AD Guanacasteca,/ad-guanacasteca/startseite/verein/25769,25769,"Jul 18, 2022",Brandon Aguilera,costa rica,631996,,2022-06-30,19.00655044251422,False,False,0,1283,True,1283,True
Sergiño Gianni Dest,2000-11-03,"Almere, Netherlands",22,"1,75 m",United States,Defender - Right-Back,right,AC Milan,/ac-milan/startseite/verein/5,5,"Sep 1, 2022",Sergiño Dest,united states,361104,,,,True,True,2208,0,True,2208,False
,1995-04-15,"Passendale, Belgium",27,"1,88 m",Belgium,midfield - Defensive Midfield,right,Aston Villa,/aston-villa/startseite/verein/405,405,"Sep 1, 2022",Leander Dendoncker,belgium,168157,,2019-07-01,24.211311662799375,False,False,1563,2674,True,4237,True
,2002-09-14,"Thiaroye, Senegal",20,"1,84 m",Senegal,midfield - Central Midfield,right,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148,148,"Aug 27, 2021",Pape Matar Sarr,senegal,568693,,2020-09-15,18.004476477956427,False,False,796,732,True,1528,True
Thomas Joseph Delaney,1991-09-03,"Frederiksberg, Denmark",31,"1,82 m",Denmark,midfield - Central Midfield,left,Sevilla FC,/sevilla-fc/startseite/verein/368,368,"Aug 25, 2021",Thomas Delaney,denmark,91849,,2017-01-01,25.331115628657674,False,False,2149,3408,True,5557,True
Exequiel Alejandro Palacios,1998-10-05,"Famaillá, Argentina",24,"1,77 m",Argentina,midfield - Central Midfield,right,Bayer 04 Leverkusen,/bayer-04-leverkusen/startseite/verein/15,15,"Jan 1, 2020",Exequiel Palacios,argentina,401578,,2020-01-01,21.240682560216843,False,False,1054,1914,True,2968,True
Leandro Daniel Paredes,1994-06-29,"San Justo, Argentina",28,"1,80 m",Argentina,midfield - Defensive Midfield,right,Juventus FC,/juventus-fc/startseite/verein/506,506,"Aug 31, 2022",Leandro Paredes,argentina,166237,,2012-07-01,18.007214384963415,False,False,3215,1312,True,4527,True
Manuel Peter Neuer,1986-03-27,"Gelsenkirchen, Germany",36,"1,93 m",Germany,Goalkeeper,right,Bayern Munich,/bayern-munich/startseite/verein/27,27,"Jul 1, 2011",Manuel Neuer,germany,17259,,,,False,False,0,7543,False,7543,True
منير مهند محمدي,1989-05-10,"Melilla, Spain",33,"1,90 m",Morocco,Goalkeeper,right,Al-Wehda FC,/al-wehda-fc/startseite/verein/17209,17209,"Jul 1, 2022",Munir,morocco,97925,Munir Mohand Mohamedi El Kajoui,,,True,True,6403,0,True,6403,False
علی قلی‌زاده,1996-03-10,"Tehran, Iran",26,"1,76 m",Iran,Attack - Right Winger,left,RSC Charleroi,/rsc-charleroi/startseite/verein/172,172,"Jul 1, 2018",Ali Gholizadeh,iran,294772,Ali Gholi Zadehnojehdeh,2018-07-01,22.30846629294236,False,False,1603,2304,True,3907,True
Mathew Allan Leckie,1991-02-04,"Melbourne, Australia",31,"1,81 m",Australia,Attack - Left Winger,right,Melbourne City FC,/melbourne-city-fc/startseite/verein/25580,25580,"Jul 1, 2021",Mathew Leckie,australia,126214,,2011-07-01,20.40288301607836,False,False,3653,2115,False,5768,True
نايف أكرد,1996-03-30,"Kénitra, Morocco",26,"1,88 m",Morocco,Defender - Centre-Back,left,West Ham United,/west-ham-united/startseite/verein/379,379,"Jul 1, 2022",Nayef Aguerd,morocco,361914,,2018-07-01,22.25370815280259,False,False,1603,2284,True,3887,True
Ali Assadalla Thaimn Qambar,1993-01-19,"Manama, Bahrain",29,"1,75 m",Qatar,midfield - Attacking Midfield,right,Al-Sadd SC,/al-sadd-sc/startseite/verein/656,656,"Jul 1, 2011",Ali Asad,qatar,150884,,,,True,True,0,5255,False,5255,True
Wayne Robert Hennessey,1987-01-24,"Beaumaris, Wales",35,"1,97 m",Wales,Goalkeeper,right,Nottingham Forest,/nottingham-forest/startseite/verein/703,703,"Jul 15, 2022",Wayne Hennessey,wales,45494,,,,True,True,7240,0,True,7240,False
Karim-David Adeyemi,2002-01-18,"München, Germany",20,"1,80 m",Germany,Attack - Right Winger,left,Borussia Dortmund,/borussia-dortmund/startseite/verein/16,16,"Jul 1, 2022",Karim Adeyemi,germany,496094,,2018-07-01,16.449345297986955,False,False,1461,306,False,1767,True
